time,open,high,low,close
2025-05-15T01:15:00+02:00,3185.175,3185.285,3182.275,3184.06
2025-05-15T01:30:00+02:00,3184.045,3187.105,3182.83,3186.72
2025-05-15T01:45:00+02:00,3186.81,3187.455,3185.425,3186.165
2025-05-15T02:00:00+02:00,3186.155,3186.285,3180.3,3184.98
2025-05-15T02:15:00+02:00,3185.045,3186.27,3180.955,3181.22
2025-05-15T02:30:00+02:00,3181.215,3184.335,3180.57,3182.675
2025-05-15T02:45:00+02:00,3182.455,3188.015,3180.935,3187.845
2025-05-15T03:00:00+02:00,3187.825,3192.83,3185.185,3186.745
2025-05-15T03:15:00+02:00,3186.75,3189.455,3182.39,3186.625
2025-05-15T03:30:00+02:00,3186.635,3189.41,3178.005,3178.01
2025-05-15T03:45:00+02:00,3178.165,3180.16,3171.335,3172.46
2025-05-15T04:00:00+02:00,3172.455,3175.65,3169.66,3174.64
2025-05-15T04:15:00+02:00,3174.7,3175.05,3163.76,3164.1
2025-05-15T04:30:00+02:00,3164.105,3166.02,3154.15,3157.9
2025-05-15T04:45:00+02:00,3157.915,3157.97,3150.185,3154.285
2025-05-15T05:00:00+02:00,3154.3,3157.175,3149.455,3149.885
2025-05-15T05:15:00+02:00,3149.89,3154.2,3148.395,3153.865
2025-05-15T05:30:00+02:00,3153.86,3156.395,3152.3,3153.45
2025-05-15T05:45:00+02:00,3153.445,3154.85,3150.45,3150.665
2025-05-15T06:00:00+02:00,3150.67,3152.675,3146.335,3149.8
2025-05-15T06:15:00+02:00,3149.815,3150.54,3146.81,3147.035
2025-05-15T06:30:00+02:00,3147.04,3149.3,3143.225,3144.385
2025-05-15T06:45:00+02:00,3144.495,3144.69,3135.545,3138.605
2025-05-15T07:00:00+02:00,3138.64,3142.61,3137.56,3139.805
2025-05-15T07:15:00+02:00,3139.785,3143.15,3138.955,3141.93
2025-05-15T07:30:00+02:00,3141.935,3141.965,3132.7,3132.975
2025-05-15T07:45:00+02:00,3132.905,3136.29,3123.425,3129.06
2025-05-15T08:00:00+02:00,3129.06,3132.485,3120.765,3126.97
2025-05-15T08:15:00+02:00,3127.04,3140.71,3125.175,3140.555
2025-05-15T08:30:00+02:00,3140.56,3151.66,3137.935,3147.98
2025-05-15T08:45:00+02:00,3147.985,3154.04,3145.84,3150.0
2025-05-15T09:00:00+02:00,3149.925,3152.175,3144.07,3150.355
2025-05-15T09:15:00+02:00,3150.27,3151.11,3141.675,3145.28
2025-05-15T09:30:00+02:00,3145.28,3146.035,3131.7,3132.365
2025-05-15T09:45:00+02:00,3132.505,3144.945,3130.715,3142.35
2025-05-15T10:00:00+02:00,3142.315,3151.495,3139.17,3150.615
2025-05-15T10:15:00+02:00,3150.61,3152.43,3147.765,3151.595
2025-05-15T10:30:00+02:00,3151.58,3159.945,3149.485,3158.77
2025-05-15T10:45:00+02:00,3158.775,3164.325,3158.41,3162.6
2025-05-15T11:00:00+02:00,3162.605,3168.245,3159.35,3165.905
2025-05-15T11:15:00+02:00,3165.89,3170.93,3165.33,3165.97
2025-05-15T11:30:00+02:00,3165.975,3171.725,3165.69,3168.53
2025-05-15T11:45:00+02:00,3168.515,3169.01,3164.635,3165.37
2025-05-15T12:00:00+02:00,3165.39,3175.24,3164.225,3174.26
2025-05-15T12:15:00+02:00,3174.265,3178.06,3173.34,3176.5
2025-05-15T12:30:00+02:00,3176.54,3178.845,3175.275,3177.385
2025-05-15T12:45:00+02:00,3177.3,3179.195,3176.005,3178.41
2025-05-15T13:00:00+02:00,3178.425,3180.25,3175.225,3177.87
2025-05-15T13:15:00+02:00,3177.855,3179.86,3173.955,3175.94
2025-05-15T13:30:00+02:00,3175.955,3178.345,3172.55,3176.19
2025-05-15T13:45:00+02:00,3176.185,3179.815,3175.685,3179.25
2025-05-15T14:00:00+02:00,3179.21,3182.82,3177.555,3180.47
2025-05-15T14:15:00+02:00,3180.475,3186.24,3177.865,3182.875
2025-05-15T14:30:00+02:00,3182.87,3187.315,3181.345,3182.315
2025-05-15T14:45:00+02:00,3182.335,3189.98,3180.13,3188.865
2025-05-15T15:00:00+02:00,3188.87,3196.075,3185.2,3195.19
2025-05-15T15:15:00+02:00,3195.34,3199.96,3191.87,3192.1
2025-05-15T15:30:00+02:00,3191.985,3197.02,3189.38,3190.83
2025-05-15T15:45:00+02:00,3190.845,3196.14,3187.925,3192.21
2025-05-15T16:00:00+02:00,3192.245,3206.7,3190.52,3203.015
2025-05-15T16:15:00+02:00,3203.01,3207.215,3201.42,3206.09
2025-05-15T16:30:00+02:00,3206.03,3206.14,3197.87,3200.645
2025-05-15T16:45:00+02:00,3200.675,3205.635,3200.23,3205.54
2025-05-15T17:00:00+02:00,3205.52,3211.76,3204.715,3209.475
2025-05-15T17:15:00+02:00,3209.49,3216.9,3208.72,3216.245
2025-05-15T17:30:00+02:00,3216.235,3217.59,3212.545,3213.805
2025-05-15T17:45:00+02:00,3213.795,3220.17,3213.76,3219.825
2025-05-15T18:00:00+02:00,3219.905,3219.955,3215.955,3217.015
2025-05-15T18:15:00+02:00,3217.145,3221.32,3216.995,3219.08
2025-05-15T18:30:00+02:00,3219.13,3222.715,3218.765,3221.745
2025-05-15T18:45:00+02:00,3221.76,3222.815,3219.675,3222.61
2025-05-15T19:00:00+02:00,3222.595,3229.25,3222.525,3225.465
2025-05-15T19:15:00+02:00,3225.47,3226.45,3222.795,3223.23
2025-05-15T19:30:00+02:00,3223.265,3223.905,3216.535,3217.28
2025-05-15T19:45:00+02:00,3217.23,3222.85,3216.815,3221.21
2025-05-15T20:00:00+02:00,3221.375,3224.83,3219.9,3224.83
2025-05-15T20:15:00+02:00,3224.785,3226.045,3221.96,3224.065
2025-05-15T20:30:00+02:00,3223.975,3225.78,3223.43,3225.645
2025-05-15T20:45:00+02:00,3225.55,3225.66,3221.77,3223.305
2025-05-15T21:00:00+02:00,3223.33,3224.925,3222.395,3224.495
2025-05-15T21:15:00+02:00,3224.495,3230.23,3224.075,3230.125
2025-05-15T21:30:00+02:00,3230.13,3230.88,3227.13,3230.615
2025-05-15T21:45:00+02:00,3230.74,3232.85,3229.475,3231.99
2025-05-15T22:00:00+02:00,3231.96,3235.31,3231.07,3234.905
2025-05-15T22:15:00+02:00,3234.88,3239.705,3233.69,3238.575
2025-05-15T22:30:00+02:00,3238.56,3239.0,3235.675,3236.925
2025-05-15T22:45:00+02:00,3236.935,3240.725,3236.665,3239.97
2025-05-16T00:00:00+02:00,3241.785,3246.87,3241.61,3245.325
2025-05-16T00:15:00+02:00,3245.33,3248.07,3244.28,3246.77
2025-05-16T00:30:00+02:00,3246.715,3250.505,3244.25,3249.875
2025-05-16T00:45:00+02:00,3249.9,3252.255,3247.935,3251.155
2025-05-16T01:00:00+02:00,3251.345,3251.365,3242.05,3248.08
2025-05-16T01:15:00+02:00,3248.21,3248.21,3242.535,3243.175
2025-05-16T01:30:00+02:00,3243.165,3247.1,3237.42,3238.975
2025-05-16T01:45:00+02:00,3239.095,3239.22,3236.565,3237.28
2025-05-16T02:00:00+02:00,3237.255,3242.425,3233.385,3239.095
2025-05-16T02:15:00+02:00,3239.005,3240.215,3233.455,3234.585
2025-05-16T02:30:00+02:00,3234.59,3237.63,3232.085,3236.27
2025-05-16T02:45:00+02:00,3236.53,3244.095,3235.12,3243.175
2025-05-16T03:00:00+02:00,3243.265,3244.675,3228.765,3231.14
2025-05-16T03:15:00+02:00,3231.055,3231.055,3221.61,3223.34
