Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
231,815.527140540276,-815.527140540276,106310.54281080552,105495.01567026525
232,774.7507835132623,1936.8864152666963,105495.01567026525,107431.90208553194
233,871.595104276597,-871.595104276597,107431.90208553194,106560.30698125534
234,828.0153490627672,-828.0153490627672,106560.30698125534,105732.29163219257
235,786.6145816096287,-786.6145816096287,105732.29163219257,104945.67705058295
236,747.2838525291475,-747.2838525291475,104945.67705058295,104198.3931980538
237,709.9196599026902,1774.8086062739342,104198.3931980538,105973.20180432773
238,798.6600902163867,-798.6600902163867,105973.20180432773,105174.54171411134
239,758.7270857055671,1896.8082578353997,105174.54171411134,107071.34997194674
240,853.5674985973368,-853.5674985973368,107071.34997194674,106217.7824733494
241,810.8891236674702,-810.8891236674702,106217.7824733494,105406.89334968194
242,770.3446674840968,-770.3446674840968,105406.89334968194,104636.54868219784
243,731.827434109892,1829.5733135141058,104636.54868219784,106466.12199571195
244,823.3060997855973,2058.2605212436256,106466.12199571195,108524.38251695558
245,926.219125847779,2315.5383581931933,108524.38251695558,110839.92087514877
246,1041.9960437574387,-1041.9960437574387,110839.92087514877,109797.92483139134
247,989.8962415695671,-989.8962415695671,109797.92483139134,108808.02858982177
248,940.4014294910885,2351.0177584745084,108808.02858982177,111159.04634829628
249,1057.952317414814,-1057.952317414814,111159.04634829628,110101.09403088146
250,1005.054701544073,2512.6462103504778,110101.09403088146,112613.74024123194
251,1130.6870120615968,2826.708073719059,112613.74024123194,115440.44831495099
252,1272.0224157475495,3180.0465829374557,115440.44831495099,118620.49489788845
253,1431.0247448944224,-1431.0247448944224,118620.49489788845,117189.47015299402
254,1359.473507649701,-1359.473507649701,117189.47015299402,115829.99664534432
255,1291.4998322672159,-1291.4998322672159,115829.99664534432,114538.4968130771
256,1226.924840653855,-1226.924840653855,114538.4968130771,113311.57197242325
257,1165.5785986211624,-1165.5785986211624,113311.57197242325,112145.99337380209
258,1107.2996686901047,2768.2349870930993,112145.99337380209,114914.22836089518
259,1245.7114180447593,-1245.7114180447593,114914.22836089518,113668.51694285043
260,1183.4258471425214,2958.5598896376487,113668.51694285043,116627.07683248808
261,1331.353841624404,3328.384604061009,116627.07683248808,119955.46143654909
262,1497.7730718274543,-1497.7730718274543,119955.46143654909,118457.68836472163
263,1422.8844182360815,3557.2157738177157,118457.68836472163,122014.90413853935
264,1830.2235620780903,-1830.2235620780903,122014.90413853935,120184.68057646127
265,1802.770208646919,-1802.770208646919,120184.68057646127,118381.91036781434
266,1419.0955183907172,-1419.0955183907172,118381.91036781434,116962.81484942362
267,1348.140742471181,3370.3379226747957,116962.81484942362,120333.15277209842
268,1804.9972915814762,4512.493228953691,120333.15277209842,124845.64600105211
269,1872.6846900157816,-1872.6846900157816,124845.64600105211,122972.96131103633
270,1844.5944196655448,-1844.5944196655448,122972.96131103633,121128.36689137078
271,1816.9255033705617,-1816.9255033705617,121128.36689137078,119311.44138800022
272,1465.5720694000113,-1465.5720694000113,119311.44138800022,117845.86931860022
273,1392.293465930011,3480.738317870145,117845.86931860022,121326.60763647036
274,1819.8991145470554,4549.742380073666,121326.60763647036,125876.35001654403
275,1888.1452502481604,-1888.1452502481604,125876.35001654403,123988.20476629588
276,1859.8230714944382,-1859.8230714944382,123988.20476629588,122128.38169480144
277,1831.9257254220215,-1831.9257254220215,122128.38169480144,120296.45596937941
278,1804.4468395406911,4511.1337711869355,120296.45596937941,124807.58974056636
279,1872.1138461084952,-1872.1138461084952,124807.58974056636,122935.47589445786
280,1844.0321384168678,4610.0750320429115,122935.47589445786,127545.55092650077
281,1913.1832638975116,-1913.1832638975116,127545.55092650077,125632.36766260325
282,1884.4855149390487,-1884.4855149390487,125632.36766260325,123747.8821476642
283,1856.2182322149629,-1856.2182322149629,123747.8821476642,121891.66391544924
284,1828.3749587317386,-1828.3749587317386,121891.66391544924,120063.2889567175
285,1800.9493343507625,-1800.9493343507625,120063.2889567175,118262.33962236674
286,1413.1169811183368,-1413.1169811183368,118262.33962236674,116849.2226412484
287,1342.4611320624201,3356.162186198675,116849.2226412484,120205.38482744708
288,1803.0807724117062,4507.701931029265,120205.38482744708,124713.08675847635
289,1870.6963013771451,4676.740753442863,124713.08675847635,129389.82751191921
290,1940.847412678788,-1940.847412678788,129389.82751191921,127448.98009924042
291,1911.7347014886063,-1911.7347014886063,127448.98009924042,125537.24539775182
292,1883.0586809662773,-1883.0586809662773,125537.24539775182,123654.18671678554
293,1854.812800751783,4637.021412751675,123654.18671678554,128291.20812953722
294,1924.3681219430582,4810.915422087376,128291.20812953722,133102.1235516246
295,1996.5318532743688,-1996.5318532743688,133102.1235516246,131105.59169835024
296,1966.5838754752535,-1966.5838754752535,131105.59169835024,129139.00782287499
297,1937.0851173431247,4842.712793357812,129139.00782287499,133981.7206162328
298,2009.725809243492,-2009.725809243492,133981.7206162328,131971.99480698933
299,1979.5799221048399,4948.954434147616,131971.99480698933,136920.94924113696
300,2053.8142386170543,-2053.8142386170543,136920.94924113696,134867.1350025199
301,2023.0070250377985,-2023.0070250377985,134867.1350025199,132844.1279774821
302,1992.6619196622314,4981.645620780609,132844.1279774821,137825.77359826272
303,2067.3866039739405,-2067.3866039739405,137825.77359826272,135758.38699428877
304,2036.3758049143314,5090.952676863133,135758.38699428877,140849.3396711519
305,2816.986793423038,7042.4723794017855,140849.3396711519,147891.81205055368
306,2957.8362410110735,-2957.8362410110735,147891.81205055368,144933.9758095426
307,2898.679516190852,7246.703985634322,144933.9758095426,152180.67979517693
308,3043.6135959035387,-3043.6135959035387,152180.67979517693,149137.0661992734
309,2982.741323985468,-2982.741323985468,149137.0661992734,146154.32487528792
310,2923.0864975057584,-2923.0864975057584,146154.32487528792,143231.23837778217
311,2864.6247675556433,7161.572564569211,143231.23837778217,150392.81094235138
312,3007.856218847028,7519.65048308637,150392.81094235138,157912.46142543774
313,3158.2492285087546,7895.627708050809,157912.46142543774,165808.08913348854
314,3316.1617826697707,-3316.1617826697707,165808.08913348854,162491.92735081876
315,3249.8385470163753,-3249.8385470163753,162491.92735081876,159242.08880380238
316,3184.8417760760476,7962.0952919211195,159242.08880380238,167204.1840957235
317,3344.08368191447,8360.209204786175,167204.1840957235,175564.39330050966
318,3500.0,-3500.0,175564.39330050966,172064.39330050966
319,3441.2878660101933,-3441.2878660101933,172064.39330050966,168623.10543449948
320,3372.4621086899897,8431.155271724974,168623.10543449948,177054.26070622445
321,3500.0,-3500.0,177054.26070622445,173554.26070622445
322,3471.085214124489,-3471.085214124489,173554.26070622445,170083.17549209995
323,3401.6635098419993,-3401.6635098419993,170083.17549209995,166681.51198225794
324,3333.630239645159,-3333.630239645159,166681.51198225794,163347.88174261278
325,3266.9576348522555,-3266.9576348522555,163347.88174261278,160080.9241077605
326,3201.61848215521,8004.046205388026,160080.9241077605,168084.97031314854
327,3361.699406262971,-3361.699406262971,168084.97031314854,164723.27090688556
328,3294.4654181377114,-3294.4654181377114,164723.27090688556,161428.80548874786
329,3228.5761097749573,8071.440274437393,161428.80548874786,169500.24576318526
330,3390.0049152637052,-3390.0049152637052,169500.24576318526,166110.24084792155
331,3322.204816958431,8305.512042396078,166110.24084792155,174415.75289031764
332,3488.315057806353,-3488.315057806353,174415.75289031764,170927.4378325113
333,3418.548756650226,-3418.548756650226,170927.4378325113,167508.88907586108
334,3350.177781517222,8375.444453793054,167508.88907586108,175884.33352965413
335,3500.0,-3500.0,175884.33352965413,172384.33352965413
336,3447.686670593083,-3447.686670593083,172384.33352965413,168936.64685906106
337,3378.732937181221,8446.832342953054,168936.64685906106,177383.4792020141
338,3500.0,8750.0,177383.4792020141,186133.4792020141
339,3500.0,-3500.0,186133.4792020141,182633.4792020141
340,3500.0,-3500.0,182633.4792020141,179133.4792020141
341,3500.0,-3500.0,179133.4792020141,175633.4792020141
342,3500.0,-3500.0,175633.4792020141,172133.4792020141
343,3442.669584040282,8606.673960100705,172133.4792020141,180740.15316211482
344,3500.0,8750.0,180740.15316211482,189490.15316211482
345,3500.0,-3500.0,189490.15316211482,185990.15316211482
346,3500.0,8750.0,185990.15316211482,194740.15316211482
347,3500.0,-3500.0,194740.15316211482,191240.15316211482
348,3500.0,-3500.0,191240.15316211482,187740.15316211482
349,3500.0,-3500.0,187740.15316211482,184240.15316211482
350,3500.0,-3500.0,184240.15316211482,180740.15316211482
351,3500.0,-3500.0,180740.15316211482,177240.15316211482
352,3500.0,8750.0,177240.15316211482,185990.15316211482
353,3500.0,-3500.0,185990.15316211482,182490.15316211482
354,3500.0,-3500.0,182490.15316211482,178990.15316211482
355,3500.0,8750.0,178990.15316211482,187740.15316211482
356,3500.0,8750.0,187740.15316211482,196490.15316211482
357,3500.0,8750.0,196490.15316211482,205240.15316211482
358,3500.0,-3500.0,205240.15316211482,201740.15316211482
359,3500.0,-3500.0,201740.15316211482,198240.15316211482
360,3500.0,-3500.0,198240.15316211482,194740.15316211482
361,3500.0,-3500.0,194740.15316211482,191240.15316211482
362,3500.0,-3500.0,191240.15316211482,187740.15316211482
363,3500.0,-3500.0,187740.15316211482,184240.15316211482
364,3500.0,-3500.0,184240.15316211482,180740.15316211482
365,3500.0,-3500.0,180740.15316211482,177240.15316211482
366,3500.0,8750.0,177240.15316211482,185990.15316211482
367,3500.0,8750.0,185990.15316211482,194740.15316211482
368,3500.0,8750.0,194740.15316211482,203490.15316211482
